id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
242,A2,7,zahlen,main,achtzehn,,,Number,,,eighteen,on sekiz,восемнадцать,вісімнадцять,هجده,ثمانية عشر,6,1,Mit achtzehn Jahren ist man in Deutschland volljährig.
243,A2,7,zahlen,main,neunzehn,,,Number,,,nineteen,on dokuz,девятнадцать,дев'ятнадцять,نوزده,تسعة عشر,6,1,Sie ist neunzehn Jahre alt.
244,A2,7,zahlen,main,zwanzig,,,Number,,,twenty,yirmi,двадцать,двадцять,بیست,عشرون,6,1,Das Hemd kostet zwanzig Euro.
245,A2,7,zahlen,main,einundzwanzig,,,Number,,,twenty-one,yirmi bir,двадцать один,двадцять один,بیست و یک,واحد وعشرون,10,1,Er ist einundzwanzig Jahre alt.
246,A2,7,zahlen,main,dreißig,,,Number,,,thirty,otuz,тридцать,тридцять,سی,ثلاثون,6,1,Die Reise dauert dreißig Minuten.
247,A2,7,zahlen,main,vierzig,,,Number,,,forty,kırk,сорок,сорок,چهل,أربعون,6,1,Das Büro ist vierzig Meter groß.
248,A2,7,zahlen,main,fünfzig,,,Number,,,fifty,elli,пятьдесят,п'ятдесят,پنجاه,خمسون,6,1,Der Zug fährt fünfzig Kilometer pro Stunde.
249,A2,7,zahlen,main,sechzig,,,Number,,,sixty,altmış,шестьдесят,шістдесят,شصت,ستون,6,1,Mein Vater ist sechzig Jahre alt.
250,A2,7,zahlen,main,siebzig,,,Number,,,seventy,yetmiş,семьдесят,сімдесят,هفتاد,سبعون,6,1,Die Strecke ist siebzig Kilometer lang.
251,A2,7,zahlen,main,achtzig,,,Number,,,eighty,seksen,восемьдесят,вісімдесят,هشتاد,ثمانون,6,1,Meine Oma ist achtzig Jahre alt.
252,A2,7,zahlen,main,neunzig,,,Number,,,ninety,doksan,девяносто,дев'яносто,نود,تسعون,6,1,Das Konzert dauert neunzig Minuten.
253,A2,7,zahlen,main,hundert,,,Number,,,hundred,yüz,сто,сто,صد,مئة,6,1,Das Buch kostet hundert Euro.
254,A2,7,zahlen,main,hunderteins,,,Number,,,one hundred and one,yüz bir,сто один,сто один,صد و یک,مئة وواحد,10,1,Er hat hunderteins Aufgaben erledigt.
255,A2,7,zahlen,main,zweihundert,,,Number,,,two hundred,iki yüz,двести,двісті,دویست,مئتان,10,1,Zweihundert Menschen waren auf der Party.
256,A2,7,zahlen,main,tausend,,,Number,,,thousand,bin,тысяча,тисяча,هزار,ألف,6,1,Die Stadt hat mehr als tausend Einwohner.
257,A2,7,zahlen,main,zweitausendeins,,,Number,,,two thousand and one,iki bin bir,две тысячи один,дві тисячі один,دو هزار و یک,ألفان وواحد,10,1,Der Film erschien im Jahr zweitausendeins.
258,A2,7,zahlen,main,Million,die,-en,Noun,,,million,milyon,миллион,мільйон,میلیون,مليون,8,1,Eine Million Menschen leben in dieser Stadt.
259,A2,7,zahlen,main,erste,,,Number,,,first,birinci,первый,перший,اول,الأول,5,1,Ich nehme den ersten Zug am Morgen.
260,A2,7,zahlen,main,zweite,,,Number,,,second,ikinci,второй,другий,دوم,الثاني,5,1,Das ist mein zweites Mal in Berlin.
261,A2,7,zahlen,main,dritte,,,Number,,,third,üçüncü,третий,третій,سوم,الثالث,5,1,Sie kam als Dritte ins Ziel.
262,A2,7,zahlen,main,vierte,,,Number,,,fourth,dördüncü,четвёртый,четвертий,چهارم,الرابع,5,1,Wir wohnen im vierten Stock.
263,A2,7,zahlen,main,erstens,,,Adverb,,,firstly,birincisi,во-первых,по-перше,اولاً,أولاً,8,1,Erstens muss ich die Hausaufgaben machen.
264,A2,7,zahlen,main,zweitens,,,Adverb,,,secondly,ikincisi,во-вторых,по-друге,ثانیاً,ثانياً,9,1,Zweitens ist das Wetter heute schlecht.
265,A2,7,zahlen,main,drittens,,,Adverb,,,thirdly,üçüncüsü,в-третьих,по-третє,ثالثاً,ثالثاً,9,1,Drittens haben wir kein Geld mehr.
266,A2,7,zahlen,main,viertens,,,Adverb,,,fourthly,dördüncüsü,в-четвёртых,по-четверте,رابعاً,رابعاً,9,1,Viertens muss ich noch den Zug buchen.
267,A2,7,zahlen,main,einmal,,,Adverb,,,once,bir kere,один раз,один раз,یک بار,مرة واحدة,1,1,Ich war einmal in Paris.
268,A2,7,zahlen,main,zweimal,,,Adverb,,,twice,iki kere,два раза,двічі,دو بار,مرتان,6,1,Ich habe den Film zweimal gesehen.
269,A2,7,zahlen,main,dreimal,,,Adverb,,,three times,üç kez,три раза,тричі,سه بار,ثلاث مرات,6,1,Er hat dreimal angerufen.
270,A2,7,zahlen,main,viermal,,,Adverb,,,four times,dört kere,четыре раза,чотири рази,چهار بار,أربع مرات,6,1,Sie hat viermal gewonnen.
271,A2,7,uhrzeit,section_title,Uhrzeit,die,,Noun,,,time of day,günün zamanı,время суток,час доби,ساعت / زمان,وقت اليوم,6,2,"Ich weiß nicht, wie die aktuelle Uhrzeit ist."
272,A2,7,uhrzeit,main,Sekunde,die,-n,Noun,,,second,saniye,секунда,секунда,ثانیه,ثانية,6,2,Warte bitte eine Sekunde.
273,A2,7,uhrzeit,main,Minute,die,-n,Noun,,,minute,dakika,минута,хвилина,دقیقه,دقيقة,1,2,Der Film beginnt in fünf Minuten.
274,A2,7,uhrzeit,main,Stunde,die,-n,Noun,,,hour,saat,час,година,ساعت,ساعة,1,2,Ich arbeite acht Stunden am Tag.
275,A2,7,woche,section_title,Wochentag,der,-e,Noun,,,weekday,hafta günü,день недели,день тижня,روز هفته,يوم من أيام الأسبوع,7,2,Montag ist ein Wochentag.
276,A2,7,woche,main,Wochenende,das,-n,Noun,,,weekend,hafta sonu,выходные,вихідні,آخر هفته,نهاية الأسبوع,7,2,Am Wochenende schlafe ich lange.
277,A2,7,woche,main,Montag,der,,Noun,,,Monday,Pazartesi,понедельник,понеділок,دوشنبه,الاثنين,5,2,Am Montag haben wir Deutschkurs.
278,A2,7,woche,main,Dienstag,der,,Noun,,,Tuesday,Salı,вторник,вівторок,سه‌شنبه,الثلاثاء,9,2,Am Dienstag kommt mein Freund zu Besuch.
279,A2,7,woche,main,Mittwoch,der,,Noun,,,Wednesday,Çarşamba,среда,середа,چهارشنبه,الأربعاء,6,2,Am Mittwoch gehe ich ins Kino.
280,A2,7,woche,main,Donnerstag,der,,Noun,,,Thursday,Perşembe,четверг,четвер,پنج‌شنبه,الخميس,10,2,Am Donnerstag ist das Café geschlossen.
281,A2,7,woche,main,Freitag,der,,Noun,,,Friday,Cuma,пятница,п'ятниця,جمعه,الجمعة,6,2,Am Freitag beginnt das Wochenende.
282,A2,7,woche,main,Samstag,der,,Noun,,,Saturday,Cumartesi,суббота,субота,شنبه,السبت,6,2,Am Samstag kaufen wir auf dem Markt ein.
283,A2,7,woche,main,Sonntag,der,,Noun,,,Sunday,Pazar,воскресенье,неділя,یکشنبه,الأحد,6,2,Am Sonntag schläft meine Familie lange.
284,A2,7,woche,sub,montags,,,Adverb,,,on Mondays,Pazartesileri,по понедельникам,по понеділках,دوشنبه‌ها,في أيام الاثنين,6,2,Montags gehe ich ins Fitnessstudio.
285,A2,7,woche,sub,dienstags,,,Adverb,,,on Tuesdays,Salı günleri,по вторникам,по вівторках,سه‌شنبه‌ها,في أيام الثلاثاء,9,2,Dienstags habe ich Deutschunterricht.
286,A2,7,woche,sub,mittwochs,,,Adverb,,,on Wednesdays,Çarşamba günleri,по средам,по середах,چهارشنبه‌ها,في أيام الأربعاء,7,2,Mittwochs treffe ich meine Freundin.
287,A2,7,woche,sub,donnerstags,,,Adverb,,,on Thursdays,Perşembe günleri,по четвергам,по четвергах,پنج‌شنبه‌ها,في أيام الخميس,10,2,Donnerstags kocht meine Mutter eine Suppe.
288,A2,7,woche,sub,freitags,,,Adverb,,,on Fridays,Cuma günleri,по пятницам,по п'ятницях,جمعه‌ها,في أيام الجمعة,6,2,Freitags gehe ich manchmal tanzen.
289,A2,7,woche,sub,samstags,,,Adverb,,,on Saturdays,Cumartesi günleri,по субботам,по суботах,شنبه‌ها,في أيام السبت,6,2,Samstags fahre ich auf den Markt.
290,A2,7,woche,sub,sonntags,,,Adverb,,,on Sundays,Pazar günleri,по воскресеньям,по неділях,یکشنبه‌ها,في أيام الأحد,6,2,Sonntags schläft meine Familie lange.
291,A2,7,woche,main,Arbeitstag,der,-e,Noun,,,working day,çalışма günü,рабочий день,робочий день,روز کاری,يوم عمل,10,2,Montag ist ein normaler Arbeitstag.
292,A2,7,woche,sub,Werktag,der,-e,Noun,,,weekday / working day,hafta içi günü,будний день / рабочий день,будній день / робочий день,روز کاری / روز غیرتعطیل,يوم عمل / يوم أسبوع,6,2,Das Büro ist an Werktagen geöffnet.
293,A2,7,zeitmaße,section_title,Zeitmaß,das,-e,Noun,,,unit of time,zaman ölçüsü,единица времени,одиниця часу,واحد زمان,وحدة زمنية,6,1,Die Sekunde ist ein kleines Zeitmaß.
294,A2,7,zeitmaße,main,Woche,die,-n,Noun,,,week,hafta,неделя,тиждень,هفته,أسبوع,1,1,Ich lerne dreimal in der Woche.
295,A2,7,zeitmaße,main,Jahr,das,-e,Noun,,,year,yıl,год,рік,سال,سنة,1,1,Dieses Jahr fahren wir nach Österreich.
296,A2,8,A,main,Angebot,das,-e,Noun,,,offer / deal,teklif,предложение / акция,пропозиція / акція,پیشنهاد / تخفیف,عرض / صفقة,6,12,Das Angebot im Supermarkt ist heute sehr günstig.
297,A2,8,Ä,main,ändern,,,Verb,ändert,hat geändert,to change / alter,değiştirmek,менять / изменять,міняти / змінювати,تغییر دادن,يغيّر / يُعدِّل,5,21,Ich möchte meine Adresse ändern.
298,A2,8,A,main,anders,,,Other,,,differently / otherwise,farklı,по-другому / иначе,по-іншому / інакше,به شکلی دیگر / متفاوت,بصورة مختلفة / بطريقة أخرى,5,21,In Deutschland ist vieles anders als in meiner Heimat.
299,A2,8,A,main,anfangen,,,Verb,fängt an,hat angefangen,to begin / start,başlamak,начинать,починати,شروع کردن,يبدأ / يشرع,6,2,Wann fängt der Kurs an?
300,A2,8,A,main,Anfang,der,¨-e,Noun,,,beginning,başlangıç,начало,початок,آغاز,بداية,3,2,Am Anfang war es für mich schwierig.
301,A2,8,A,main,Angst,die,¨-e,Noun,,,fear / anxiety,korku,страх / тревога,страх / тривога,ترس / اضطراب,خوف / قلق,2,19,Ich habe keine Angst vor der Prüfung.
302,A2,8,A,main,ankommen,,,Verb,kommt an,,to arrive,varmak,прибывать,прибувати,رسیدن,يصل,3,11,Der Zug kommt um acht Uhr an.
303,A2,8,A,main,anmachen,,,Verb,macht an,hat angemacht,to turn on / switch on,açmak,включать,включати,روشن کردن,يُشغِّل / يفتح,6,17,Kannst du bitte das Licht anmachen?
304,A2,8,A,main,anmelden,,,Verb,,hat angemeldet,to register / log in,kaydolmak / giriş yapmak,регистрироваться / входить в систему,реєструватися / входити в систему,ثبت‌نام کردن / وارد شدن,يُسجِّل / يسجّل الدخول,9,17,Ich muss mich für den Kurs anmelden.
305,A2,8,A,main,Anmeldung,die,-en,Noun,,,registration,kayıt,регистрация,реєстрація,ثبت‌نام,تسجيل,9,13,Die Anmeldung für den Kurs ist kostenlos.
306,A2,8,A,main,anrufen,,,Verb,ruft an,hat angerufen,to call / phone,telefonla aramak,звонить,дзвонити,تلفن کردن,يتصل / يُهاتف,3,13,Ich rufe dich morgen Abend an.
307,A2,8,A,main,Anruf,der,-e,Noun,,,phone call,telefon araması,телефонный звонок,телефонний дзвінок,تماس تلفنی,مكالمة هاتفية,2,13,Ich habe heute zwei Anrufe verpasst.
308,A2,8,A,main,ansehen,,,Verb,sieht an,hat angesehen,to look at / watch,bakmak / izlemek,смотреть / смотреть на,дивитися / переглядати,نگاه کردن به / تماشا کردن,ينظر إلى / يشاهد,8,21,Wir sehen uns den Film zusammen an.
309,A2,8,A,main,antworten,,,Verb,antwortet,hat geantwortet,to answer,cevap vermek,отвечать,відповідати,پاسخ دادن,يُجيب,3,13,Ich antworte auf die E-Mail.
310,A2,8,A,main,Anzeige,die,-n,Noun,,,advertisement / notice,ilan / duyuru,объявление / уведомление,оголошення / повідомлення,آگهی / اعلان,إعلان / إشعار,8,13,Ich habe eine Stellenanzeige in der Zeitung gefunden.
311,A2,8,A,main,abgeben,,,Verb,gibt ab,,to hand in / submit,teslim etmek,сдавать / подавать,здавати / подавати,تحویل دادن,يُسلِّم / يُقدِّم,8,21,Ich gebe die Hausaufgaben morgen ab.
312,A2,8,A,main,abholen,,,Verb,holt ab,hat abgeholt,to pick up / collect,almak,забирать / получать,забирати / отримувати,تحویل گرفتن / برداشتن,يستلم / يجمع,8,21,Kannst du mich vom Bahnhof abholen?
313,A2,8,A,main,abschließen,,,Verb,,hat abgeschlossen,to lock / conclude,kilitlemek / sonuçlandırmak,запирать / завершать,запирати / завершувати,قفل کردن / به پایان رساندن,يُقفِل / يُنهي,10,21,"Vergiss nicht, die Tür abzuschließen."
314,A2,8,A,main,Adresse,die,-n,Noun,,,address,adres,адрес,адреса,نشانی,عنوان,6,13,Ich schreibe meine Adresse auf das Formular.
315,A2,8,A,main,aktiv,,,Other,,,active,aktif,активный,активний,فعال,نشيط,5,15,Sie ist sportlich und sehr aktiv.
316,A2,8,A,main,als,,,Other,,,as / when / than,olarak,как / когда / чем,як / коли / ніж,به عنوان / وقتی که / از,كـ / حين / من,1,21,Er ist größer als sein Bruder.
317,A2,8,A,main,alt,,,Other,,,old,eski,старый,старий,پیر / قدیمی,قديم,1,21,Das Gebäude ist sehr alt.
318,A2,8,A,main,Alter,das,,Noun,,,age,yaş,возраст,вік,سن,سن / عمر,5,21,In welchem Alter lernt man am besten fremde Sprachen?
319,A2,8,A,main,an,,,Other,,,at / on / to,-de / -e,на / у / к,на / у / до,در / روی / به,في / على / إلى,1,21,Ich hänge das Bild an die Wand.
320,A2,8,A,main,anbieten,,,Verb,bietet an,,to offer,teklif etmek,предлагать,пропонувати,پیشنهاد کردن,يعرض,9,21,Das Hotel bietet einen Frühstücksservice an.
321,A2,9,A,main,aus,,,Other,,,from / out of,den / dışarı,из / изнутри,з / із,از / بیرون از,من / خارج,1,21,Ich komme aus Deutschland.
322,A2,9,A,main,Ausbildung,die,-en,Noun,,,training / apprenticeship,eğitim / çıraklık,обучение / профессиональная подготовка,навчання / професійна підготовка,آموزش حرفه‌ای / کارآموزی,تدريب / تأهيل مهني,10,8,Sie macht eine Ausbildung zur Köchin.
323,A2,9,A,main,Ausflug,der,¨-e,Noun,,,excursion / day trip,gezi / piknik,экскурсия / поездка на день,екскурсія / поїздка на день,گردش / سفر یک‌روزه,رحلة / نزهة يومية,8,15,Wir machen am Samstag einen Ausflug ans Meer.
324,A2,9,A,main,ausfüllen,,,Verb,,,to fill in,doldurmak,заполнять,заповнювати,پر کردن,يملأ,9,21,Bitte füllen Sie das Formular aus.
325,A2,9,A,main,Ausgang,der,¨-e,Noun,,,exit,çıkış,выход,вихід,خروجی,مخرج,8,6,Der Ausgang ist links vom Eingang.
326,A2,9,A,main,ausgehen,,,Verb,geht aus,,to go out,dışarı çıkmak,выходить / гулять,виходити / гуляти,بیرون رفتن,يخرج,6,21,Wir gehen heute Abend aus.
327,A2,9,A,main,Auskunft,die,¨-e,Noun,,,information,bilgi,информация,інформація,اطلاعات,معلومات,9,13,An der Auskunft bekomme ich Informationen.
328,A2,9,A,main,Ausland,das,,Noun,,,abroad,yurt dışı,за границей,за кордоном,خارج از کشور,الخارج / خارج البلاد,8,10,Er arbeitet seit zwei Jahren im Ausland.
329,A2,9,A,main,auspacken,,,Verb,packt aus,hat ausgepackt,to unpack,açmak (paketi),распаковывать,розпаковувати,باز کردن بسته / از بسته درآوردن,يفتح الحقائب / يفك التغليف,9,21,Ich packe meinen Koffer nach der Reise aus.
330,A2,9,A,main,ausruhen,,,Verb,ruht aus,,to rest / relax,dinlenmek,отдыхать / расслабляться,відпочивати / розслаблятися,استراحت کردن / آرام گرفتن,يستريح / يرتاح,9,21,Nach der Arbeit ruhe ich mich aus.
331,A2,9,A,main,aussehen,,,Verb,sieht aus,,to look / appear,görünmek,выглядеть / казаться,виглядати / здаватися,به نظر رسیدن,يبدو / يظهر,3,21,Wie siehst du heute aus?
332,A2,9,A,main,außer,,,Other,,,except / besides,dışında / hariç,кроме / помимо,окрім / крім,به جز / علاوه بر,إلا / باستثناء / علاوة على,8,21,"Alle waren da, außer meiner Schwester."
333,A2,9,A,main,aussprechen,,,Verb,spricht aus,hat ausgesprochen,to pronounce,telaffuz etmek,произносить,вимовляти,تلفظ کردن,ينطق,10,21,Ich kann dieses Wort nicht richtig aussprechen.
334,A2,9,A,main,aussteigen,,,Verb,steigt aus,,to get off (vehicle),inmek (taşıttan),выходить (из транспорта),виходити (з транспорту),پیاده شدن,ينزل من (مركبة),10,11,Wir steigen an der nächsten Haltestelle aus.
335,A2,9,A,main,Ausstellung,die,-en,Noun,,,exhibition,sergi,выставка,виставка,نمایشگاه,معرض,10,16,Im Museum gibt es eine interessante Ausstellung.
336,A2,9,A,main,Ausweis,der,-e,Noun,,,ID card,kimlik,удостоверение личности,посвідчення особи,کارت شناسایی,بطاقة هوية,8,18,Zeigen Sie bitte Ihren Ausweis.
337,A2,9,A,main,Auto,das,-s,Noun,,,car,araba,автомобиль,автомобіль,ماشین,سيارة,1,11,Mein Auto steht in der Garage.
338,A2,9,A,main,arbeiten,,,Verb,arbeitet,hat gearbeitet,to work,çalışmak,работать,працювати,کار کردن,يعمل,3,8,Ich arbeite von neun bis fünf Uhr.
339,A2,9,A,main,Arbeit,die,-en,Noun,,,work / job,iş / meslek,работа / труд,робота / праця,کار / شغل,عمل / وظيفة,1,8,Meine Arbeit macht mir viel Spaß.
340,A2,9,Ä,main,ärgern,,,Verb,arm,,to annoy / get angry,kızdırmak / sinirlendirmek,злиться / раздражать,дратувати / злитися,عصبانی کردن / عصبانی شدن,يُغضب / يغضب,8,19,Der Lärm ärgert mich sehr.
341,A2,9,A,main,auch,,,Other,,,also / too,de / ayrıca,также / тоже,також / теж,همچنین / هم,أيضاً / كذلك,1,21,Ich spreche auch Englisch.
342,A2,9,A,main,auf,,,Other,,,on / onto / open,üzerinde / üzerine / açık,на / на поверхность / открытый,на / на поверхню / відкритий,روی / به روی / باز,على / فوق / مفتوح,1,21,Das Buch liegt auf dem Tisch.
343,A2,9,A,main,auf,,,Other,,,on / up (prefix),üstünde / -e (önek),на / вверх (приставка),на / вгору (префікс),بالا / بر,على / للأعلى (بادئة),1,21,Ich stehe jeden Morgen früh auf.
344,A2,9,A,main,aufhören,,,Verb,,,to stop / quit,bırakmak / durmak,прекращать / бросать,припиняти / кидати,متوقف کردن / دست کشیدن,يتوقف / يترك,9,2,Ich höre heute mit dem Rauchen auf.
345,A2,9,A,main,aufmachen,,,Verb,macht auf,hat aufgemacht,to open,açmak,открывать,відкривати,باز کردن,يفتح,7,21,Machst du bitte das Fenster auf?
346,A2,9,A,main,aufpassen,,,Verb,passt auf,hat aufgepasst,to pay attention / watch out,dikkat etmek,быть внимательным / остерегаться,уважно стежити / остерігатися,توجه کردن / مواظب بودن,ينتبه / يحذر,9,21,Pass auf! Das ist gefährlich.
347,A2,9,A,main,aufräumen,,,Verb,räumt auf,hat aufgeräumt,to tidy up,toparlamak / temizlemek,убирать / приводить в порядок,прибирати / наводити порядок,مرتب کردن / جمع‌وجور کردن,يُرتِّب / يُنظِّم,9,6,Ich räume am Wochenende mein Zimmer auf.
348,A2,9,A,main,aufregend,,,Other,,,exciting,heyecan verici,захватывающий,захоплюючий,هیجان‌انگیز,مثير,9,21,Der Film war wirklich aufregend.
349,A2,9,A,main,aufstehen,,,Verb,steht auf,ist aufgestan,to get up,kalkmak,вставать,вставати,از جا بلند شدن,يستيقظ / ينهض,9,21,Ich stehe jeden Morgen um sieben auf.
350,A2,9,A,main,Aufzug,der,¨-e,Noun,,,elevator / lift,asansör,лифт,ліфт,آسانسور,مصعد,8,6,Wir nehmen den Aufzug in den dritten Stock.
351,A2,9,A,main,Auge,das,-n,Noun,,,eye,göz,глаз,око,چشم,عين,1,4,Sie hat schöne blaue Augen.
352,A2,10,B,main,beenden,,,Verb,beendet,hat beendet,to end / finish,bitirmek,заканчивать,закінчувати / завершувати,تمام کردن / پایان دادن,يُنهي / ينتهي من,8,21,Ich beende den Kurs im Juni.
353,A2,10,B,main,beginnen,,,Verb,beginnt,hat begonnen,to begin,başlamak,начинаться,починати,شروع کردن,يبدأ,6,2,Der Unterricht beginnt um acht Uhr.
354,A2,10,B,main,begründen,,,Verb,begründet,hat begründet,to give reasons / justify,gerekçelendirmek,обосновывать / оправдывать,обґрунтовувати / виправдовувати,دلیل آوردن / توجیه کردن,يُبرِّر / يُعلِّل,9,21,"Der Lehrer bittet mich, meine Meinung zu begründen."
355,A2,10,B,main,bei,,,Other,,,at / near / with,yanında / ile,у / около / с,біля / з / при,نزد / کنار / با,في / عند / لدى,1,21,Ich wohne bei meinen Eltern.
356,A2,10,B,main,beide,,,Other,,,both,her ikisi,оба,обидва / обидві,هر دو,كلاهما,5,21,Beide Antworten sind richtig.
357,A2,10,B,main,Bein,das,-e,Noun,,,leg,bacak,нога,нога,پا,ساق,4,4,Mein Bein tut nach dem Sport weh.
358,A2,10,B,main,bekannt,,,Other,,,known / familiar,tanınmış / bilinen,известный / знакомый,відомий / знайомий,شناخته‌شده / آشنا,معروف / مألوف,6,3,Dieser Name ist mir bekannt.
359,A2,10,B,main,bekommen,,,Verb,bekommt,hat benutzt,to get / receive,almak / elde etmek,получать,отримувати,دریافت کردن / گرفتن,يحصل على / يستقبل,6,21,Ich bekomme morgen mein Gehalt.
360,A2,10,B,main,bequem,,,Other,,,comfortable,rahat,удобный,зручний,راحت,مريح,8,21,Das neue Sofa ist sehr bequem.
361,A2,10,B,main,beraten,,,Verb,berät,,to advise,tavsiye etmek,советовать,радити,مشاوره دادن / راهنمایی کردن,يُشير بـ / ينصح,8,21,Der Arzt berät mich über meine Gesundheit.
362,A2,10,B,main,Berg,der,-e,Noun,,,mountain,dağ,гора,гора,کوه,جبل,1,14,Im Urlaub wandern wir auf den Berg.
363,A2,10,B,main,berichten,,,Verb,berichtet,hat berichtet,to report,rapor etmek / bildirmek,сообщать / докладывать,повідомляти / доповідати,گزارش دادن / اطلاع دادن,يُقرِّر / يُبلِّغ,9,13,Die Zeitung berichtet über das schlechte Wetter.
364,A2,10,B,main,Beruf,der,-e,Noun,,,profession / job,meslek / iş,профессия / работа,професія / робота,حرفه / شغل,مهنة / وظيفة,5,8,Was ist dein Beruf?
365,A2,10,B,main,beschreiben,,,Verb,,,to describe,tanımlamak,описывать,описувати,توصیف کردن,يصف,10,21,Beschreibe bitte dein Zimmer.
366,A2,10,B,main,beschweren,,,Verb,beschwert,,to complain,şikayet etmek,жаловаться,скаржитися,شکایت کردن,يشكو,10,21,Ich beschwere mich über den Lärm.
367,A2,10,B,main,Baby,das,-s,Noun,,,baby,bebek,малыш,малюк,نوزاد,رضيع,1,13,Das Baby schläft in der Nacht gut.
368,A2,10,B,main,backen,,,Verb,,hat gebacken,to bake,fırınlamak / pişirmek,печь,пекти,پختن,يخبز,8,5,Ich backe am Samstag einen Kuchen.
369,A2,10,B,main,Bäckerei,die,-en,Noun,,,bakery,fırın (ekmekçi),пекарня,пекарня,نانوایی,مخبز,9,5,Die Bäckerei öffnet um sechs Uhr morgens.
370,A2,10,B,main,baden,,,Verb,badet,hat gebadet,to bathe,yıkanmak,купаться,купатися,حمام کردن / شنا کردن,يستحم,5,21,Abends bade ich gern in der Badewanne.
371,A2,10,B,main,Bahn,die,-en,Noun,,,train / railway,tren / demiryolu,поезд / железная дорога,поїзд / залізниця,قطار / راه‌آهن,قطار / سكة الحديد,1,11,Ich fahre mit der Bahn zur Arbeit.
372,A2,10,B,main,Bahnhof,der,¨-e,Noun,,,train station,tren garı,вокзал,вокзал,ایستگاه قطار,محطة القطار,8,11,Der Bahnhof ist in der Stadtmitte.
373,A2,10,B,main,Balkon,der,-e,Noun,,,balcony,balkon,балкон,балкон,بالکن,شرفة,5,6,Ich trinke morgens Kaffee auf dem Balkon.
374,A2,10,B,main,Bank,die,-en,Noun,,,bank (financial),banka,банк,банк,بانک,بنك (مالي),4,12,Ich gehe zur Bank und hole Geld.
375,A2,10,B,main,Bank,die,¨-e,Noun,,,bench,oturak / bank,скамейка,лавка,نیمکت,مقعد,4,12,Wir sitzen auf der Bank im Park.
376,A2,10,B,main,Bauch,der,¨-e,Noun,,,stomach / belly,göbek / karın,живот / брюхо,живіт / черево,شکم,بطن / معدة,5,4,Mein Bauch tut nach dem Essen weh.
377,A2,10,B,main,Baum,der,¨-e,Noun,,,tree,ağaç,дерево,дерево,درخت,شجرة,4,14,Der Baum im Garten ist sehr groß.
378,A2,10,B,main,Baustelle,die,-n,Noun,,,construction site,inşaat alanı,стройка,будівельний майданчик,محل ساخت‌وساز,موقع بناء,9,8,Auf der Baustelle arbeiten viele Leute.
379,A2,10,B,main,bedanken,,,Verb,bedankt,,to thank / express gratitude,teşekkür etmek,благодарить / выражать благодарность,дякувати / висловлювати подяку,تشکر کردن / قدردانی کردن,يشكر / يُعرِب عن الامتنان,9,21,Ich bedanke mich herzlich für das Geschenk.
380,A2,10,B,main,bedeuten,,,Verb,bedeutet,hat bedeutet,to mean,anlamına gelmek,значить,означати,معنی دادن / به معنی بودن,يعني,9,21,Was bedeutet das Wort auf Deutsch?
381,A2,10,B,main,beeilen,,,Verb,beeilt,,to hurry,acele etmek,торопиться,поспішати,عجله کردن,يتعجّل,8,21,"Ich beeile mich, damit ich nicht zu spät komme."
382,A2,11,B,main,bleiben,,,Verb,bleibt,,to stay / remain,kalmk / kalmak,оставаться,залишатися,ماندن,يبقى / يظل,2,21,Ich bleibe heute Abend zu Hause.
383,A2,11,B,main,Bleistift,der,-e,Noun,,,pencil,kurşun kalem,карандаш,олівець,مداد,قلم رصاص,9,9,Ich schreibe mit einem Bleistift.
384,A2,11,B,main,braten,,,Verb,brät,,to fry / roast,kızartmak / kavurmak,жарить / запекать,смажити / запікати,سرخ کردن / بریان کردن,يقلي / يشوي,5,5,Ich brate das Fleisch in der Pfanne.
385,A2,11,B,main,brauchen,,,Verb,braucht,,to need,ihtiyaç duymak,нуждаться,потребувати,نیاز داشتن,يحتاج,3,21,Ich brauche einen neuen Ausweis.
386,A2,11,B,main,Brief,der,-e,Noun,,,letter,mektup,письмо,лист,نامه,رسالة / خطاب,2,13,Ich schreibe einen Brief an meine Freundin.
387,A2,11,B,main,bringen,,,Verb,bringt,,to bring,getirmek,приносить,приносити,آوردن,يُحضِر,2,21,Kannst du mir bitte das Buch bringen?
388,A2,11,B,main,Brot,das,-e,Noun,,,bread,ekmek,хлеб,хліб,نان,خبز,1,5,Ich kaufe jeden Morgen frisches Brot.
389,A2,11,B,main,Brötchen,das,-,Noun,,,bread roll,poğaça / küçük ekmek,булочка,булочка,نان کوچک / نان گرد,خبز صغير / كعك صغير,3,5,Zum Frühstück esse ich ein Brötchen mit Butter.
390,A2,11,B,main,Buch,das,¨-er,Noun,,,book,kitap,книга,книга,کتاب,كتاب,1,13,Ich lese ein interessantes Buch.
391,A2,11,B,main,buchen,,,Verb,bucht,hat gebucht,to book / reserve,rezerve etmek,бронировать / заказывать,бронювати / резервувати,رزرو کردن,يحجز,8,10,Ich buche ein Hotelzimmer für das Wochenende.
392,A2,11,B,main,Buchstabe,der,-n,Noun,,,letter (of the alphabet),harf,буква,буква,حرف,حرف (من الأبجدية),9,9,Das A ist der erste Buchstabe des Alphabets.
393,A2,11,B,main,bunt,,,Other,,,colorful,renkli,разноцветный,барвистий,رنگارنگ,ملوَّن,4,21,Die Kinder malen bunte Bilder.
